"sleeper_player_id","morality_index"
"9221",4
"9509",4
"7564",4
"9493",4
"4034",4
"6813",4
"9488",4
"7547",4
"8138",4
"6786",4
"4866",4
"6794",4
"12527",4
"9226",4
"12507",4
"3198",5
"9224",4
"8151",4
"5859",4
"4984",5
"8112",4
"11604",4
"7569",4
"8130",4
"8137",4
"8150",4
"13287",4
"5850",1
"11632",4
"10229",3
"8144",3
"8155",4
"7588",4
"4881",4
"7525",4
"12526",4
"12481",4
"6801",4
"11635",4
"12514",4
"9997",4
"7543",4
"12517",4
"8146",4
"11584",4
"5892",4
"7526",4
"12512",4
"6790",4
"12518",4
"11564",4
"12529",4
"5927",4
"6770",4
"4983",4
"2133",4
"8148",4
"13286",4
"12519",4
"12490",4
"2216",5
"6904",5
"11620",4
"10859",4
"9484",4
"11566",4
"13279",4
"8167",4
"8228",4
"7553",4
"11631",4
"9487",4
"11628",4
"11560",4
"12506",4
"7611",4
"5846",4
"7594",4
"5967",4
"6797",4
"12489",4
"5045",4
"7021",4
"3294",5
"6806",4
"4217",4
"13294",4
"11583",4
"10232",4
"10236",4
"12534",4
"4037",4
"11586",4
"1466",5
"13281",4
"8142",4
"12533",4
"7523",4
"8408",4
"9756",2
"10222",4
"12508",4
"9754",4
"6819",4
"421",4
"7567",4
"8110",4
"9500",4
"4046",5
"8131",4
"13298",4
"4199",2
"2449",4
"8126",4
"11563",4
"8136",4
